日付,コード,和名,タイトル,区分,ランク,枚数,前日終,始値,高値,安値,現在値,出来高,高値,終値,始値,300,合計,リアル,,もうすぐストップ高TEST,,もうすぐストップ高,合計,1,2160,ジーエヌアイグループ,東マ,制度,医薬品,42804,15:00:00,715,86,,,,,,銘柄,,,自社株買い,逆日歩,信用倍率,時価総額,決算月,,2017/3/11,20AVG出来高,20AVG出来高指数300以上OK,配当利回り（実績),,,,,,,,,,,,,,,,,,,,,,,,,,,,決算期,会計方式,決算発表日,決算月数,売上高,営業利益,経常利益,当期利益,EPS（一株当たり利益）,調整一株当たり利益,BPS（一株当たり純資産）,総資産,自己資本,資本金,有利子負債,自己資本比率,ROA（総資産利益率）,ROE（自己資本利益率）,総資産経常利益率,各項目の意味についてはこちらをご覧下さい。,決算期,会計方式,決算発表日,決算月数,売上高,営業利益,経常利益,当期利益,EPS（一株当たり利益）,調整一株当たり利益,BPS（一株当たり純資産）,総資産,自己資本,資本金,有利子負債,自己資本比率,ROA（総資産利益率）,ROE（自己資本利益率）,総資産経常利益率,外国人株比率   ,輸出比率   ,総数,,,,,変動率3ヶ月,半年,１年,２年,,<浮動株>,,<特定株>,営業CF,投資CF,財務CF,現金等,営業CF前期,投資CF前期,財務CF前期,現金等前期,,,,,,,,
2017/5/31,6664,（株）オプトエレクトロニクス,もうすぐストップ高TEST,1,2,400,877,876,1026,873,1000,322637,1027,1011,1025,"12,200","468,801",,"261,100","12,200","-226,699",,"434,400",2,"6,664",電気機器,0,"1,007",15,"310,700","727.0～1,027.0",87,55,電気機器,100,,.t&,東証JQS,,,,,,17,"5,822",11,2017/5/28 18:22,882,199490,176.54865,0.56,507,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年11月期,日本方式,2016/12/21,12か月,7147,515,457,297,48.21円,---,892.41円,13896,5513,942,6592,0.397,0.0218,0.0512,0.0335,2015年11月期,日本方式,日本方式,2015/12/24,12か月,8129,566,530,511,79.07円,---,985.21円,13390,6086,942,5588,0.455,0.0387,0.0858,0.0402,,,6578000,,0.971326165,,,0.389830508,0.986338798,0.988888889,0.989361702,0.021,0.21,0.003,0.568,1450,-180,-468,3017,75,-116,-88,1899,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,2017/3/1,2017/4/2 18:00
2017/5/31,5283,高見澤,もうすぐストップ高,2,3,1000,524,531,623,531,607,82112,623,576,560,"-47,300","421,501",,"261,100",,"-226,699","-47,300","387,100",3,"5,283",商社,0,605,15,"130,000",424.0～624.0,81,45,卸売業,"1,000",,.t&,東証JQS,,,,,,0,"4,387",6,2017/5/28 18:26,507,26333.33333,13.14033333,1,295,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年6月期,日本方式,2016/8/9,12か月,48694,947,705,701,82.36円,---,966.21円,27046,8124,1264,9436,0.3,0.0254,0.0883,0.0256,2015年6月期,日本方式,日本方式,2015/8/12,12か月,55972,1079,1322,1062,124.36円,---,907.89円,28053,7753,1264,10115,0.276,0.0378,0.1496,0.0471,,,8792000,,1,,,0.294589178,1,1,1,0.001,0.28,0,0.507,117,-1010,437,993,1382,-439,-334,1439,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,2017/5/1,2017/5/7 18:09
2017/5/31,3645,日本メディカルネットコミュニケーションズ,もうすぐストップ高,1_ 新規売り・現引き,4,500,887,942,1035,930,999,899542,1035,1010,1040,"20,200","441,701",,"261,100",,"-226,699","20,200","407,300",4,"3,645",サービス業,0,989,12,"921,000","737.0～1,037.0",68,75,情報・通信,100,,.t&,マザーズ,,,,,,11,"3,442",5,2017/5/28 18:30,737,43490,27.79011,0.31,482,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年5月期,日本方式,2016/7/14,12か月,1482,176,176,186,34.54円,34.47円,265.21円,1668,1428,286,---,0.856,0.1087,0.1398,0.1029,2015年5月期,日本方式,日本方式,2015/7/10,12か月,1258,101,102,46,8.58円,8.56円,229.08円,1753,1233,286,---,0.703,0.0271,0.0379,0.0602,,,5386500,,1,,,0.305164319,1,1,1,0.014,0.26, ‥%,0.584,154,-63,-6,834,89,-157,-22,750,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,2017/4/1,2017/4/30 18:01
2017/5/31,6246,（株）テクノスマート,もうすぐストップ高,1,5,400,1035,1200,1296,1156,1276,548260,1297,1243,1237,"-15,900","425,801",,"261,100",,"-226,699","-15,900","391,400",5,"6,246",機械,0,"1,236",19,"391,100","735.0～1,335.0",67,61,機械,100,,.t&,東証2部,,,,,,0,"11,081",--,2017/5/28 18:24,1034,446240,456.94976,1.56,423,,,,,,,,,,,,,,,,,,,,,,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,10821720,,0.951219512,,,0.432617188,0.935632184,0.961956522,0.961956522,0.103,0.316,0.005,0.451,-720,-37,-186,4006,1088,-55,147,4951,0.28646627,0.55706964,0.662345323,0.572775314,0.624458873,529,2017/5/1,2017/5/14 17:59
2017/5/31,3689,(株)イグニス,もうすぐストップ高TEST,2,3,100,4170,4300,4800,4265,4660,4288313,4840,4780,4710,"5,065","430,866",,"261,100","5,065","-221,634",,"391,400",3,"3,689",サービス業,0,"4,685",12,"929,500","3,470.0～4,870.0",74,62,情報・通信,100,,.t&,マザーズ,,,,,,0,"29,626",9,2017/5/28 18:09,4110,171740,759.0908,0,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年9月期,日本方式,2016/11/11,12か月,5585,1474,1465,1087,176.58円,168.84円,391.29円,4332,2431,621,522,0.561,0.3452,0.5929,0.4652,2015年9月期,日本方式,日本方式,2015/11/12,12か月,2419,-38,-148,-306,-50.43円,---,202.16円,1966,1236,562,145,0.629,-0.1491,-0.2171,-0.0721,,,6702800,,0.663043478,,,0.374434389,0.104545455,0.228660924,0.281611815,0,0,0,0.975,229,-78,-18,155,-47,-1,72,23,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,,
2017/6/1,6177,ＡｐｐＢａｎｋ(株),もうすぐストップ高,2,3,600,663,683,759,674,738,58029,759,730,745,"3,900","434,766",,"261,100",,"-221,634","3,900","395,300",3,"6,177",サービス業,0,735,11,"53,200",563.0～763.0,72,43,サービス業,100,,.t&,マザーズ,,,,,,0,"4,623",12,2017/5/28 18:08,676,27000,18.36,0,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年12月期,日本方式,2017/2/14,12か月,2332,-107,-145,-80,-12.19円,---,159.50円,2203,1061,99,829,0.482,-0.0327,-0.0731,-0.0593,2015年12月期,日本方式,日本方式,2016/2/17,12か月,3966,912,861,551,85.39円,76.71円,170.97円,2688,1128,99,892,0.42,0.2553,0.7069,0.399,,,6798000,,0.62244898,,,0.455882353,0.148648649,0.0653789,0.021189502,0.165,0.203,0,0.715,662,-34,637,1960,358,-145,138,694,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,,
2017/6/1,2656,ベクター,もうすぐストップ高TEST,2,4,500,881,986,1030,927,957,2874509,1030,921,861,"-50,457","384,310",,"261,100","-50,457","-272,090",,"395,300",4,"2,656",小売業,0,988,12,"2,827,400","731.0～1,031.0",71,98,小売業,100,,.t&,東証JQS,,,,,,0,"7,432",--,2017/5/28 18:33,631,415120,220.42872,-,773,,,,,,,,,,,,,,,,,,,,,,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,13997000,,1,,,0.54613936,0.521126761,0.299101412,0.313207547,0,0.097,0.001,0.864,-22,-337,0,1273,338,-142,-68,1634,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,2017/4/1,2017/4/23 18:02
2017/6/1,3623,ビリングシステム,もうすぐストップ高,2,5,100,5170,5270,6090,5260,5940,559450,6140,6030,6080,"13,700","398,010",,"261,100",,"-272,090","13,700","409,000",5,"3,623",サービス業,0,"5,940",15,"97,300","4,170.0～6,170.0",77,70,情報・通信,100,,.t&,マザーズ,,,,,,0,"9,010",12,2017/5/28 18:30,5280,71630,393.2487,0.46,3735,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年12月期,日本方式,2017/2/10,12か月,1865,223,222,-55,-34.66円,---,1062.51円,5874,1693,1237,215,0.288,-0.0089,-0.0316,0.0359,2015年12月期,日本方式,日本方式,2016/2/12,12か月,1484,164,165,143,90.73円,90.16円,1125.87円,6491,1787,1231,167,0.275,0.0222,0.0837,0.0256,,,1641100,,0.891752577,,,0.418943534,1,1,0.856756757,0.201,0.287,0.012,0.487,1165,169,37,5476,1468,-218,-494,4104,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,2017/4/1,2017/4/30 18:01
2017/6/1,4334,ユークス,もうすぐストップ高,2,7,500,853,860,975,830,951,1192996,997,974,984,"16,200","414,210",,"261,100",,"-272,090","16,200","425,200",7,"4,334",サービス業,0,949,11,"1,264,400","703.0～1,003.0",64,71,情報・通信,100,,.t&,東証JQS,,,,,,250,"8,866",1,2017/5/28 18:28,773,255630,204.24837,1.25,499,,,,,,,,,,,,,,,,,,,,,,,,,,,2017年1月期,日本方式,2017/3/10,12か月,3643,31,121,54,6.34円,---,438.23円,6697,3791,412,2150,0.566,0.0093,0.0142,0.0207,2016年1月期,日本方式,日本方式,2016/3/11,12か月,5277,1256,1302,815,94.31円,---,441.46円,4969,3819,412,---,0.769,0.1759,0.2361,0.2809,,,11096000,,0.705882353,,,0.456821026,0.303488372,0.381198347,0.381198347,0.068,0.122,0,0.803,224,-115,-6625,1237,161,431,1533,7257,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,2017/4/1,2017/4/30 18:05
2017/6/1,2425,（株）ケアサービス,もうすぐストップ高,2,8,200,2615,2765,3050,2715,3030,713059,3115,3100,3100,"13,700","427,910",,"261,100",,"-272,090","13,700","438,900",8,"2,425",サービス業,0,"2,931",12,"247,400","2,115.0～3,115.0",63,172,サービス業,100,,.t&,東証JQG,,,,,,291,"5,794",3,2017/5/28 18:33,2805,196200,541.3158,0.49,639,,,,,,,,,,,,,,,,,,,,,,,,,,,2017年3月期,日本方式,2017/5/15,12か月,8435,234,289,156,81.12円,---,696.76円,2811,1321,205,561,0.47,0.0548,0.1227,0.1014,2016年3月期,日本方式,日本方式,2016/5/13,12か月,8299,242,255,146,75.18円,---,629.44円,2887,1221,205,650,0.423,0.0506,0.1196,0.0883,,,2100000,,0.692164179,,,1.129757158,0.7475867,0.754775964,0.758549932,0.024,0.207,0,0.716,446,-45,-235,1165,588,-127,-132,1000,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,2017/4/1,2017/4/23 18:01
2017/6/2,7833,（株）アイフィスジャパン,もうすぐストップ高TEST,1,2,600,646,663,742,661,712,77031,742,714,710,"-1,704","426,205",,"261,100","-1,704","-273,795",,"438,900",2,"7,833",その他製造業,0,723,12,"97,000",546.0～746.0,77,40,その他製品,100,,.t&,東証1部,,,,,0,1,"6,821",12,2017/5/28 18:18,667,91660,61.04556,1.05,427,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年12月期,日本方式,2017/2/10,12か月,4596,588,592,373,38.66円,---,283.04円,3614,2734,382,---,0.757,0.1118,0.1448,0.1775,2015年12月期,日本方式,日本方式,2016/2/10,12か月,4241,582,594,381,39.47円,39.46円,250.36円,3057,2418,382,---,0.791,0.1339,0.1684,0.2088,,,10242000,,1,,,0.402402402,1,1,0.848717949,0.005,0.211,0,0.649,314,-183,-32,1457,210,-78,-74,1358,0.209478214,0.588374746,0.713996513,0.618185544,0.592814566,2025,2017/1/1,2017/5/21 18:00
2017/6/2,3798,ＵＬＳグループ,もうすぐストップ高TEST,2,3,300,1478,1580,1759,1567,1689,688816,1759,1529,1599,"-26,943","399,262",,"261,100","-26,943","-300,738",,"438,900",3,"3,798",サービス業,0,"1,707",15,"405,400","1,178.0～1,778.0",76,53,情報・通信,100,,.t&,東証JQS,,,,,,0,"8,791",3,2017/5/28 18:30,1429,69090,98.59143,0.98,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,2017年3月期,日本方式,2017/5/12,12か月,4677,842,843,539,94.02円,---,711.83円,5087,4086,845,---,0.803,0.1088,0.1397,0.1701,2016年3月期,日本方式,日本方式,2016/5/13,12か月,4866,810,813,458,79.86円,79.81円,632.71円,4822,3632,845,---,0.753,0.0982,0.1331,0.1744,,,6160800,,0.644067797,,,0.365802383,0.440643863,0.685875706,0.591651543,0.002,0.165,0,0.71,437,35,-76,1114,-55,-154,-67,718,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,2017/4/1,2017/4/30 18:02
2017/6/2,6239,(株)ナガオカ,もうすぐストップ高TEST,2,4,400,1097,1140,1375,1140,1289,362411,1397,1396,1340,"19,483","418,745",,"261,100","19,483","-281,255",,"438,900",4,"6,239",機械,0,"1,318",20,"271,800","797.0～1,397.0",74,80,機械,100,,.t&,東証JQS,,,"42,916",,,0,"1,845",6,2017/5/28 18:08,907,122710,107.73938,0,548,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年6月期,日本方式,2016/8/9,12か月,3123,-597,-871,-814,-393.04円,---,822.43円,6643,1707,787,3341,0.257,-0.1059,-0.37,-0.1133,2015年6月期,日本方式,日本方式,2015/8/10,12か月,5858,257,412,216,134.48円,118.25円,1328.84円,8735,2693,750,3189,0.308,0.0282,0.1011,0.0538,,,2101000,,0.959409594,,,0.477220957,0.720620843,0.759541985,0.241212121,0.019,0.19, ‥%,0.65,-294,-166,795,1794,-307,-500,972,1395,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,,
2017/6/2,6026,ＧＭＯ ＴＥＣＨ(株),もうすぐストップ高TEST,2,5,200,2728,2770,3190,2770,2951,54147,3190,2750,2760,"-32,662","386,083",,"261,100","-32,662","-313,917",,"438,900",5,"6,026",サービス業,0,"3,045",12,"17,800","2,228.0～3,230.0",63,33,サービス業,100,,.t&,マザーズ,,,,,,0,"2,734",--,2017/5/28 18:09,2500,660,1.63944,1.23,2143,,,,,,,,,,,,,,,,,,,,,,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,1100620,,0.40562249,,,0.249597424,0.318295739,0.136464088,0.097568677,0,0.022,0,1,131,-6,-36,248,78,-6,-20,160,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,,
2017/6/2,3940,(株)ノムラシステムコーポレーション,もうすぐストップ高TEST,2,2,100,5080,5680,5900,5370,5710,823169,6080,6080,7080,"119,665","505,748",,"261,100","119,665","-194,252",,"438,900",2,"3,940",サービス業,0,"5,720",13,"145,600","4,080.0～6,080.0",64,77,情報・通信,100,,.t&,東証JQS,,,,,,0,"6,803",--,2017/5/28 18:08,3650,70220,257.3563,-,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,1856300,,0.987012987,,,0.623465211,0.995697074,0.996095275,0.996095275,,,,,,,,,,,,,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,,
2017/6/2,3825,（株）リミックスポイント,もうすぐストップ高TEST,2,4,500,890,970,1003,852,958,11077970,1003,890,980,"11,182","516,930",,"261,100","11,182","-183,070",,"438,900",4,"3,825",サービス業,0,983,10,"11,432,700","740.0～1,040.0",62,116,情報・通信,100,,.t&,マザーズ,,,,,,"1,115","21,712",3,2017/5/28 18:30,643,11214230,6089.32689,-,158,,,,,,,,,,,,,,,,,,,,,,,,,,,2017年3月期,日本方式,2017/5/15,12か月,5561,32,6,-42,-1.08円,---,38.42円,2471,1533,548,218,0.62,-0.017,-0.0274,0.0024,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,39985600,,1,,,0.639042357,1,1,0.174114671,0.333,0.118,0,0.617,12,-43,17,94,-2,-3,-154,107,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,2017/4/1,2017/4/30 18:03
2017/6/5,6334,明治機械,もうすぐストップ高,2,3,800,459,469,522,469,522,249068,539,539,556,"26,900","543,830",,"261,100",,"-183,070","26,900","465,800",3,"6,334",機械,0,512,12,"478,700",379.0～539.0,66,117,機械,100,,.t&,東証2部,,,,,,87,"4,846",3,2017/5/28 18:24,427,488170,207.47225,0.47,141,,,,,,,,,,,,,,,,,,,,,,,,,,,2017年3月期,日本方式,2017/5/9,12か月,6583,376,390,349,30.72円,---,180.68円,5714,2057,1414,894,0.36,0.0661,0.188,0.0739,2016年3月期,日本方式,日本方式,2016/5/12,12か月,6024,126,118,136,13.80円,---,145.40円,4847,1655,1414,776,0.341,0.0308,0.0907,0.0268,,,11402636,,0.822834646,,,0.670588235,0.846405229,0.864942529,0.864942529,0.006,0.324,0,0.147,-262,-72,-302,1036,1494,737,-1149,1664,0.28646627,0.55706964,0.662345323,0.572775314,0.624458873,529,2017/5/1,2017/5/14 18:00
2017/6/5,3922,(株)ＰＲ ＴＩＭＥＳ,もうすぐストップ高,2,4,200,3200,3620,3720,3420,3680,262473,3900,3900,3910,"45,700","589,530",,"261,100",,"-183,070","45,700","511,500",4,"3,922",サービス業,0,"3,630",13,"71,800","2,500.0～3,900.0",61,57,情報・通信,100,,.t&,マザーズ,,,,,,0,"9,210",2,2017/5/28 18:08,3055,55570,156.98525,0,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,2017年2月期,日本方式,2017/4/13,12か月,1355,250,237,154,49.89円,46.49円,403.63円,1564,1315,412,---,0.841,0.1336,0.1758,0.2056,2016年2月期,日本方式,日本方式,2016/4/13,12か月,1080,180,176,114,44.52円,---,170.34円,741,437,50,100,0.59,0.1905,0.3,0.2941,,,3260000,,1,,,0.338053097,0.953094463,0.958762887,0.958762887,0.124,0,0,1,210,-243,97,250,109,-80,41,186,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,,
2017/6/5,3758,（株）アエリア,もうすぐストップ高TEST,1_ 新規売り,5,100,4285,4425,4765,4395,4680,2696055,4985,4985,5060,"40,298","629,828",,"261,100","40,298","-142,772",,"511,500",5,"3,758",サービス業,0,"4,715",10,"559,700","3,585.0～4,985.0",61,105,情報・通信,100,,.t&,東証JQS,,,,,,"17,817","34,508",12,2017/5/28 18:30,4085,851450,3635.6915,-,1192,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年12月期,日本方式,2017/2/15,12か月,5906,-1605,-1428,-2147,-286.25円,---,519.92円,7775,3902,100,689,0.502,-0.2395,-0.4249,-0.1593,2015年12月期,日本方式,日本方式,2016/2/15,12か月,4187,-612,-388,-778,-124.27円,---,826.51円,10154,6203,408,716,0.611,-0.1088,-0.1591,-0.0543,,80,8081448,,0,,,0.871194379,0.623766447,0.66532553,0.668778281,0.071,0.203,0,0.715,-540,1011,-192,2769,-49,489,-504,2422,0.336409146,0.539127693,0.56552292,0.477308213,0.622843068,744,2017/4/1,2017/4/30 18:02
2017/6/5,5817,日本電線工業,もうすぐストップ高,2,6,300,1320,1318,1580,1312,1550,613431,1580,1486,1515,"-10,800","619,028",,"261,100",,"-142,772","-10,800","500,700",6,"5,817",非鉄金属及び金属製品,0,"1,500",14,"410,300","1,020.0～1,620.0",60,121,非鉄金属,100,,.t&,東証2部,,,,,,"2,462","5,991",--,2017/5/28 18:25,1201,684800,874.4896,1.17,313,,,,,,,,,,,,,,,,,,,,,,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,4691555,,0.901554404,,,0.870790916,1,1,1,0.003,0.216,0.006,0.395,18,-100,-35,298,155,-48,-36,415,0.28646627,0.55706964,0.662345323,0.572775314,0.624458873,529,2017/5/1,2017/5/7 18:10
2017/6/5,3656,ＫＬａｂ,もうすぐストップ高TEST,2,4,300,1363,1395,1625,1382,1539,12428547,1625,1540,1532,"-2,574","616,454",,"261,100","-2,574","-145,346",,"500,700",4,"3,656",サービス業,0,"1,565",15,"8,180,100","1,063.0～1,663.0",67,72,情報・通信,100,,.t&,東証1部,,,,,,787,"51,632",12,2017/5/28 18:30,1352,7192460,9781.7456,0,638,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年12月期,日本方式,2017/2/10,12か月,19599,1274,830,-814,-22.26円,---,248.50円,12133,9110,4572,---,0.751,-0.0657,-0.086,0.067,2015年12月期,日本方式,日本方式,2016/2/8,12か月,20913,2198,1919,700,19.26円,18.86円,269.26円,12633,9820,4551,30,0.777,0.0552,0.0743,0.1513,,,37964400,,0.987401575,,,0.526470588,1,1,0.50967008,0.145,0.304,0,0.324,-1316,-2507,6363,4512,2260,-1087,-32,1862,0.209478214,0.588374746,0.713996513,0.618185544,0.592814566,2025,2017/4/1,2017/4/30 18:01
2017/6/6,3664,（株）モブキャスト,もうすぐストップ高TEST,1,1,300,1137,1347,1433,1277,1377,12263067,1433,1257,1229,"-54,040","562,414",,"261,100","-54,040","-199,386",,"500,700",1,"3,664",サービス業,0,"1,405",24,"8,573,000","837.0～1,437.0",89,76,情報・通信,100,,.t&,マザーズ,,-1,,,,2,"13,732",12,2017/5/28 18:30,846,486030,414.58359,-,998,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年12月期,日本方式,2017/2/9,12か月,3097,-222,-234,-333,-22.61円,---,132.22円,3792,2129,1749,1062,0.561,-0.0986,-0.2174,-0.0693,2015年12月期,日本方式,日本方式,2016/2/10,12か月,3913,-445,-471,-1658,-114.30円,---,64.08円,2963,935,983,1177,0.316,-0.4619,-1.0517,-0.1312,,,16098008,,0.315789474,,,0.719812427,0.103565365,0.344344344,0.492641363,0.098,0.155,0.029,0.646,-749,-1020,924,768,934,-227,229,1593,0.531703016,0.491503379,0.444608872,0.381228276,0.641983638,239,2017/4/1,2017/4/30 18:01
2017/6/6,3775,（株）ガイアックス,もうすぐストップ高TEST,0,1,500,711,709,840,660,808,117450,840,671,661,"-91,265","471,149",,"261,100","-91,265","-290,651",,"500,700",1,"3,775",サービス業,0,833,17,"156,000",561.0～861.0,81,50,情報・通信,100,,.n&,名古屋セ,,,,,,0,"2,790",12,2017/5/28 18:30,531,7370,3.85451,0,624,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年12月期,日本方式,42781,12か月,5728,-584,-595,-700,-147.05,---,337.45,4293,1611,100,1626,0.375,-0.1406,-0.2847,-0.1195,,2015年12月期,日本方式,42417,12か月,5214,392,393,262,56.14,55.84,696.58,5663,3306,100,891,0.584,0.062,0.1071,0.093,,,5147752,,0.431818182,,,0.370936902,0.128865979,0.071022727,0.017705382,0.006,0.387,0,0.355,-142,-216,1028,1485,-40,13,-305,811,,,,,,,,
2017/6/6,4662,フォーカスシステムズ,もうすぐストップ高TEST,2,2,400,1025,1205,1288,1073,1190,4431952,1288,1096,1066,"-52,401","418,748",,"261,100","-52,401","-343,052",,"500,700",2,"4,662",サービス業,0,"1,230",20,"3,709,700","725.0～1,325.0",68,67,情報・通信,100,,.t&,東証1部,,,,,,0,"9,939",--,2017/5/28 18:28,615,64050,39.0705,2.05,526,,,,,,,,,,,,,,,,,,,,,,,,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,16292942,,0.978723404,,,0.21147541,0.88125,0.911214953,0.188571429,0.001,0.229,0,0.512,-1020,875,56,2395,314,442,65,2484,0.209478214,0.588374746,0.713996513,0.618185544,0.592814566,2025,2017/5/1,2017/5/7 18:05
2017/6/7,6966,三井ハイテック,もうすぐストップ高,1,1,300,1311,1561,1588,1523,1569,1170214,1611,1611,1632,"18,600","437,348",,"261,100",,"-343,052","18,600","519,300",1,"6,966",電気機器,0,"1,563",19,"719,200","1,011.0～1,611.0",84,45,電気機器,100,,.t&,東証1部,,,,,0,1,"50,960",1,2017/5/28 18:21,1203,163420,196.104,1.25,721,,,,,,,,,,,,,,,,,,,,,,,,,,,2017年1月期,日本方式,2017/3/15,12か月,65346,1821,2018,1849,47.41円,---,1277.13円,62811,49362,16403,4849,0.786,0.0308,0.0374,0.0336,2016年1月期,日本方式,日本方式,2016/3/10,12か月,64104,1858,2390,1817,44.33円,---,1242.73円,57417,49592,16403,---,0.864,0.0311,0.0364,0.0409,,,42466865,,0.938967136,,,0.3,0.970260223,0.974603175,0.977931034,0.096,0.15,0.023,0.518,6135,-3506,-1718,12112,4474,-3749,-1361,10298,0.209478214,0.588374746,0.713996513,0.618185544,0.592814566,2025,2017/3/1,2017/4/2 18:03
2017/6/7,3160,（株）大光,もうすぐストップ高,2,3,300,1489,1719,1746,1650,1705,319672,1777,1729,1685,"-6,300","431,048",,"261,100",,"-343,052","-6,300","513,000",3,"3,160",商社,0,"1,691",14,"185,700","1,189.0～1,789.0",67,63,卸売業,100,,.t&,東証1部,,,,"42,922",,0,"6,630",5,2017/5/28 18:31,1060,44970,49.51197,1.09,808,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年5月期,日本方式,2016/7/13,12か月,53824,816,831,387,65.44円,---,408.26円,17577,2417,475,7190,0.138,0.0214,0.17,0.0459,2015年5月期,日本方式,日本方式,2015/7/14,12か月,49884,565,556,213,36.14円,---,360.80円,18634,2136,475,9288,0.115,0.0118,0.1046,0.0309,,,6021600,,0.819277108,,,0.263396912,0.987692308,0.99047619,0.990675991,0,0.232,0,0.629,647,-601,-17,507,-177,-485,645,472,0.209478214,0.588374746,0.713996513,0.618185544,0.592814566,2025,2017/4/1,2017/4/23 18:06
2017/6/7,6091,（株）ウエスコホールディングス,もうすぐストップ高TEST,1,4,1100,337,374,414,372,382,938703,414,375,365,"-22,551","408,497",,"261,100","-22,551","-365,603",,"513,000",4,"6,091",サービス業,0,386,15,"2,311,500",257.0～417.0,61,15,サービス業,100,,.t&,東証2部,,,,,,277,"5,973",7,2017/5/28 18:24,337,26720,9.00464,2.97,274,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年7月期,日本方式,2016/9/13,12か月,10323,582,690,394,26.22円,---,786.71円,16086,11828,400,---,0.735,0.0246,0.0335,0.043,2015年7月期,日本方式,日本方式,2015/9/11,12か月,9837,550,641,355,23.63円,---,779.67円,15985,11722,400,---,0.733,0.0233,0.0308,0.0421,,,17724297,,0.933333333,,,0.115727003,0.960784314,0.982142857,0.68902439,0.006,0.156,0,0.508,1515,-163,-115,5972,―,―,―,―,0.28646627,0.55706964,0.662345323,0.572775314,0.624458873,529,2017/5/1,2017/5/14 17:58
2017/6/7,3346,２１ＬＡＤＹ,もうすぐストップ高TEST,0,4,1200,301,309,375,309,360,49675,381,381,450,"124,700","533,197",,"261,100","124,700","-240,903",,"513,000",4,"3,346",小売業,0,372,24,"143,700",221.0～381.0,89,112,小売業,100,,.n&,名古屋セ,,,"42,887",,,0,"2,011",3,2017/5/28 18:08,280,33880,4.94648,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,2016年3月期,日本方式,42503,12か月,2985,-86,-101,-88,-14.86,---,1.1,1000,7,175,53,0.007,-0.0934,-9.7778,-0.1072,,2015年3月期,日本方式,42137,12か月,2895,-87,-94,-74,-16.68,---,2.29,884,11,133,65,0.012,-0.0855,---,-0.1085,,,6959853,,0.816901408,,,0.719178082,0.575,0.607692308,0.607692308,0.009,0.143,0,0.728,-29,-47,80,79,26,-19,-39,76,,,,,,,,
